 
****************************************
Report : area
Design : mac_engine
Version: U-2022.12
Date   : Sun May 12 02:16:15 2024
****************************************

Library(s) Used:

    GF22FDX_SC7P5T_116CPP_BASE_CSC20L_TT_0P80V_0P00V_0P00V_0P00V_25C (File: /cad/tools/libraries/dwc_logic_in_gf22fdx_sc7p5t_116cpp_base_csc20l/GF22FDX_SC7P5T_116CPP_BASE_CSC20L_FDK_RELV02R80/model/timing/db/GF22FDX_SC7P5T_116CPP_BASE_CSC20L_TT_0P80V_0P00V_0P00V_0P00V_25C.db)

Number of ports:                         1156
Number of nets:                          2120
Number of cells:                         1081
Number of combinational cells:            881
Number of sequential cells:                95
Number of macros/black boxes:               0
Number of buf/inv:                         95
Number of references:                      22

Combinational area:                516.362401
Buf/Inv area:                       14.546400
Noncombinational area:             125.627998
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                   641.990399
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area          Local cell area
                                  ------------------  --------------------------- 
Hierarchical cell                 Absolute   Percent  Combi-    Noncombi-  Black-
                                  Total      Total    national  national   boxes   Design
--------------------------------  ---------  -------  --------  ---------  ------  --------------------------------
mac_engine                         641.9904    100.0   31.5984    56.8632  0.0000  mac_engine
PFU1                               538.9128     83.9  159.4536    68.7648  0.0000  proposed
PFU1/add_347_2                       7.8648      1.2    7.8648     0.0000  0.0000  proposed_DW01_add_9
PFU1/add_365_2                       7.8648      1.2    7.8648     0.0000  0.0000  proposed_DW01_add_11
PFU1/add_386_2                       7.8648      1.2    7.8648     0.0000  0.0000  proposed_DW01_add_13
PFU1/add_402_2                       8.4216      1.3    8.4216     0.0000  0.0000  proposed_DW01_add_15
PFU1/add_416_2                      15.7992      2.5   15.7992     0.0000  0.0000  proposed_DW01_add_17
PFU1/add_502                        26.3784      4.1   26.3784     0.0000  0.0000  proposed_DW01_add_8
PFU1/add_513                        15.6600      2.4   15.6600     0.0000  0.0000  proposed_DW01_add_7
PFU1/add_514                        15.6600      2.4   15.6600     0.0000  0.0000  proposed_DW01_add_6
PFU1/add_515                        15.6600      2.4   15.6600     0.0000  0.0000  proposed_DW01_add_5
PFU1/add_516                        15.6600      2.4   15.6600     0.0000  0.0000  proposed_DW01_add_4
