Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
500000000,2bx2b,6.84E-05,2.20E-05,908466209.5,0.752917382,471.391765
510000000,2bx2b,7.04E-05,2.16E-05,927006226.1,0.75943395,481.011948
520000000,2bx2b,7.16E-05,2.12E-05,944819020.2,0.75781709,490.2547842
530000000,2bx2b,7.32E-05,2.08E-05,963378462.2,0.759825996,499.8850468
540000000,2bx2b,7.45E-05,2.04E-05,981590123.8,0.758972591,509.3348505
550000000,2bx2b,7.56E-05,2.00E-05,999412189.4,0.756444646,518.5824976
560000000,2bx2b,7.71E-05,1.96E-05,1017864748,0.757468025,528.1572996
570000000,2bx2b,7.87E-05,1.93E-05,1035878527,0.759741591,537.5044244
580000000,2bx2b,7.98E-05,1.90E-05,1053904133,0.757184619,546.8576865
590000000,2bx2b,8.13E-05,1.86E-05,1072568187,0.757993767,556.5422307
600000000,2bx2b,8.23E-05,1.83E-05,1090594417,0.754634342,565.8958163
610000000,2bx2b,8.41E-05,1.80E-05,1108531981,0.758661017,575.2033938
620000000,2bx2b,8.51E-05,1.77E-05,1127127713,0.755016481,584.8524872
630000000,2bx2b,8.64E-05,1.75E-05,1144877025,0.754666205,594.0623831
640000000,2bx2b,8.83E-05,1.72E-05,1163207077,0.759108174,603.5736181
650000000,2bx2b,8.89E-05,1.69E-05,1181358415,0.752523526,612.9921208
660000000,2bx2b,9.08E-05,1.67E-05,1199277315,0.757122634,622.2900143
670000000,2bx2b,9.23E-05,1.64E-05,1217780710,0.757936132,631.8911942
500000000,4bx4b,8.67E-05,2.20E-05,908466209.5,0.954355804,471.391765
510000000,4bx4b,8.91E-05,2.16E-05,927006226.1,0.961158593,481.011948
520000000,4bx4b,9.06E-05,2.12E-05,944819020.2,0.958913803,490.2547842
530000000,4bx4b,9.26E-05,2.08E-05,963378462.2,0.961200646,499.8850468
540000000,4bx4b,9.41E-05,2.04E-05,981590123.8,0.958648602,509.3348505
550000000,4bx4b,9.58E-05,2.00E-05,999412189.4,0.958563454,518.5824976
560000000,4bx4b,9.71E-05,1.96E-05,1017864748,0.953957785,528.1572996
570000000,4bx4b,9.89E-05,1.93E-05,1035878527,0.954745151,537.5044244
580000000,4bx4b,0.000101,1.90E-05,1053904133,0.958341435,546.8576865
590000000,4bx4b,0.000103,1.86E-05,1072568187,0.960311906,556.5422307
600000000,4bx4b,0.000105,1.83E-05,1090594417,0.962777714,565.8958163
610000000,4bx4b,0.000106,1.80E-05,1108531981,0.956219594,575.2033938
620000000,4bx4b,0.000108,1.77E-05,1127127713,0.958187779,584.8524872
630000000,4bx4b,0.00011,1.75E-05,1144877025,0.960801882,594.0623831
640000000,4bx4b,0.000112,1.72E-05,1163207077,0.962855215,603.5736181
650000000,4bx4b,0.000113,1.69E-05,1181358415,0.956525967,612.9921208
660000000,4bx4b,0.000115,1.67E-05,1199277315,0.958910825,622.2900143
670000000,4bx4b,0.000117,1.64E-05,1217780710,0.96076411,631.8911942
500000000,8bx8b,0.000137,2.20E-05,908466209.5,1.508036277,471.391765
510000000,8bx8b,0.000139,2.16E-05,927006226.1,1.499450555,481.011948
520000000,8bx8b,0.000142,2.12E-05,944819020.2,1.502933334,490.2547842
530000000,8bx8b,0.000145,2.08E-05,963378462.2,1.505119802,499.8850468
540000000,8bx8b,0.000148,2.04E-05,981590123.8,1.507757631,509.3348505
550000000,8bx8b,0.00015,2.00E-05,999412189.4,1.500882234,518.5824976
560000000,8bx8b,0.000153,1.96E-05,1017864748,1.503146664,528.1572996
570000000,8bx8b,0.000156,1.93E-05,1035878527,1.505968084,537.5044244
580000000,8bx8b,0.000159,1.90E-05,1053904133,1.508676121,546.8576865
590000000,8bx8b,0.000161,1.86E-05,1072568187,1.501070067,556.5422307
600000000,8bx8b,0.000164,1.83E-05,1090594417,1.503767096,565.8958163
610000000,8bx8b,0.000167,1.80E-05,1108531981,1.506496907,575.2033938
620000000,8bx8b,0.00017,1.77E-05,1127127713,1.508258541,584.8524872
630000000,8bx8b,0.000172,1.75E-05,1144877025,1.502344761,594.0623831
640000000,8bx8b,0.000175,1.72E-05,1163207077,1.504461274,603.5736181
650000000,8bx8b,0.000179,1.69E-05,1181358415,1.51520485,612.9921208
660000000,8bx8b,0.00018,1.67E-05,1199277315,1.5009039,622.2900143
670000000,8bx8b,0.000184,1.64E-05,1217780710,1.510945268,631.8911942
