Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
500000000,2bx2b,6.88e-05,2.12e-05,943396226.4150944,0.72928,489.51651432912746
500000000,4bx4b,8.73e-05,2.12e-05,943396226.4150944,0.92538,489.51651432912746
500000000,8bx8b,0.000137,2.12e-05,943396226.4150944,1.4522000000000002,489.51651432912746
534000000,2bx2b,7.4e-05,1.9843e-05,1007912110.0640024,0.7341909999999999,522.993000240765
534000000,4bx4b,9.33e-05,1.9843e-05,1007912110.0640024,0.92567595,522.993000240765
534000000,8bx8b,0.000146,1.9843e-05,1007912110.0640024,1.4485389999999998,522.993000240765
568000000,2bx2b,7.85e-05,1.8656000000000002e-05,1072041166.3807889,0.732248,556.2687662830994
568000000,4bx4b,9.86e-05,1.8656000000000002e-05,1072041166.3807889,0.9197408000000001,556.2687662830994
568000000,8bx8b,0.000155,1.8656000000000002e-05,1072041166.3807889,1.4458400000000002,556.2687662830994
602000000,2bx2b,8.34e-05,1.7618e-05,1135202633.6701102,0.7346705999999998,589.042462468924
602000000,4bx4b,0.000105,1.7618e-05,1135202633.6701102,0.924945,589.042462468924
602000000,8bx8b,0.000164,1.7618e-05,1135202633.6701102,1.4446759999999998,589.042462468924
636000000,2bx2b,8.75e-05,1.6663e-05,1200264058.0927804,0.7290062500000001,622.8020226716378
636000000,4bx4b,0.000111,1.6663e-05,1200264058.0927804,0.9247965,622.8020226716378
636000000,8bx8b,0.000175,1.6663e-05,1200264058.0927804,1.4580125000000002,622.8020226716378
670000000,2bx2b,9.23e-05,1.5815e-05,1264622194.1195068,0.72986225,656.1966553131522
670000000,4bx4b,0.000117,1.5815e-05,1264622194.1195068,0.9251775000000001,656.1966553131522
670000000,8bx8b,0.000184,1.5815e-05,1264622194.1195068,1.4549800000000002,656.1966553131522
