Frequency,Slack,Combinational Area,Buff/Inv Area,Noncombinational Area,Total MAC Engine Area,Total Fusion Unit Area
500000000,332.63,202.953599,7.3776,88.600798,291.5544,188.4768
510000000,308.63,202.953599,7.3776,88.600798,291.5544,188.4768
520000000,283.97,202.953599,7.3776,88.600798,291.5544,188.4768
530000000,254.37,202.953599,7.3776,88.600798,291.5544,188.4768
540000000,226.37,202.953599,7.3776,88.600798,291.5544,188.4768
550000000,199.97,202.953599,7.3776,88.600798,291.5544,188.4768
560000000,173.57,202.953599,7.3776,88.600798,291.5544,188.4768
570000000,148.77,202.953599,7.3776,88.600798,291.5544,188.4768
580000000,124.77,202.953599,7.3776,88.600798,291.5544,188.4768
590000000,100.77,202.953599,7.3776,88.600798,291.5544,188.4768
600000000,78.37,202.953599,7.3776,88.600798,291.5544,188.4768
610000000,56.77,202.953599,7.3776,88.600798,291.5544,188.4768
620000000,35.17,202.953599,7.3776,88.600798,291.5544,188.4768
630000000,15.17,202.953599,7.3776,88.600798,291.5544,188.4768
640000000,5.99,202.953599,7.3776,88.600798,291.5544,188.4768
650000000,2.69,205.389599,7.5168,88.600798,293.9904,190.9128
660000000,0.27,205.389599,7.656,88.600798,293.9904,190.9128
670000000,0.08,207.199199,7.7256,88.600798,295.8,192.7224
