Frequency,Precision,Power,Execution Time,Energy,Throughput,pJ,GOPs/mm2,,Area (um2),Area (mm2)
500000000,2bx2b,0.00038,3.36E-06,6.36E-14,5972962691,0.64,683.5382959,,873.83,0.00087383
510000000,2bx2b,0.000379,3.29E-06,6.22E-14,6094854816,0.62,697.4874765,,,
520000000,2bx2b,0.000367,3.23E-06,5.91E-14,6211653158,0.59,710.853731,,,
530000000,2bx2b,0.000398,3.17E-06,6.28E-14,6333985118,0.63,724.8532458,,,
540000000,2bx2b,0.000374,3.11E-06,5.80E-14,6453393330,0.58,738.5181706,,,
550000000,2bx2b,0.000411,3.05E-06,6.25E-14,6570889223,0.63,751.964252,,,
560000000,2bx2b,0.000396,3.00E-06,5.92E-14,6692129035,0.59,765.8387827,,,
570000000,2bx2b,0.000427,2.95E-06,6.27E-14,6810636859,0.63,779.4006682,,,
500000000,4bx4b,0.000398,7.12E-06,1.41E-13,2817527593,1.41,322.4342942,,,
510000000,4bx4b,0.000407,6.98E-06,1.42E-13,2875027027,1.42,329.0144567,,,
520000000,4bx4b,0.000406,6.85E-06,1.39E-13,2930222327,1.39,335.330937,,,
530000000,4bx4b,0.000427,6.72E-06,1.43E-13,2987830664,1.43,341.9235622,,,
540000000,4bx4b,0.000425,6.59E-06,1.40E-13,3044261041,1.4,348.3813832,,,
550000000,4bx4b,0.000437,6.47E-06,1.41E-13,3099584341,1.41,354.7125117,,,
560000000,4bx4b,0.000438,6.36E-06,1.39E-13,3156882620,1.39,361.2696543,,,
570000000,4bx4b,0.000455,6.25E-06,1.42E-13,3212679578,1.42,367.6549876,,,
500000000,8bx8b,0.000349,2.30E-05,4.00E-13,872153032.5,4,99.80808995,,,
510000000,8bx8b,0.000358,2.25E-05,4.02E-13,889951965.8,4.02,101.8449774,,,
520000000,8bx8b,0.000363,2.21E-05,4.00E-13,907074010.7,4,103.8044025,,,
530000000,8bx8b,0.00037,2.17E-05,4.00E-13,924870327.1,4,105.8409905,,,
540000000,8bx8b,0.000378,2.13E-05,4.01E-13,942341246.5,4.01,107.8403404,,,
550000000,8bx8b,0.000385,2.09E-05,4.01E-13,959463710.1,4.01,109.7998135,,,
560000000,8bx8b,0.000391,2.05E-05,4.00E-13,977203646.8,4,111.8299494,,,
570000000,8bx8b,0.000398,2.02E-05,4.00E-13,994472410.5,4,113.8061649,,,
