Frequency,Precision,Power,Execution Time,Energy,Throughput,pJ,GOPs/mm2,,Area (um2),Area (mm2)
500000000,2bx2b,0.000228,3.36E-06,3.82E-14,5972962691,0.04,1053.54406,,566.94,0.00056694
500000000,4bx4b,0.000285,7.12E-06,1.01E-13,2817526904,0.10,496.9709148,,,
500000000,8bx8b,0.000307,2.30E-05,3.52E-13,872152966.5,0.35,153.8351442,,,
510000000,2bx2b,0.000231,3.29E-06,3.79E-14,6094854816,0.04,1075.044064,,,
510000000,4bx4b,0.000291,6.98E-06,1.01E-13,2875027027,0.10,507.1131031,,,
510000000,8bx8b,0.000313,2.25E-05,3.52E-13,889951897.1,0.35,156.9746176,,,
520000000,2bx2b,0.000217,3.23E-06,3.49E-14,6211653158,0.03,1095.645599,,,
520000000,4bx4b,0.000285,6.85E-06,9.73E-14,2930221582,0.10,516.8486228,,,
520000000,8bx8b,0.00032,2.21E-05,3.53E-13,907073939.4,0.35,159.9946977,,,
530000000,2bx2b,0.00024,3.17E-06,3.79E-14,6333985118,0.04,1117.223184,,,
530000000,4bx4b,0.000303,6.72E-06,1.01E-13,2987829890,0.10,527.0098934,,,
530000000,8bx8b,0.000326,2.17E-05,3.52E-13,924870253,0.35,163.1337096,,,
540000000,2bx2b,0.000222,3.11E-06,3.44E-14,6453393330,0.03,1138.285062,,,
540000000,4bx4b,0.000295,6.59E-06,9.69E-14,3044260237,0.10,536.963389,,,
540000000,8bx8b,0.000332,2.13E-05,3.52E-13,942341246.5,0.35,166.2153396,,,
550000000,2bx2b,0.000248,3.05E-06,3.77E-14,6570889223,0.04,1159.009635,,,
550000000,4bx4b,0.000312,6.47E-06,1.01E-13,3099583508,0.10,546.7216122,,,
550000000,8bx8b,0.000338,2.09E-05,3.52E-13,959463630.3,0.35,169.23548,,,
560000000,2bx2b,0.000231,3.00E-06,3.45E-14,6692129035,0.03,1180.394581,,,
560000000,4bx4b,0.000308,6.36E-06,9.76E-14,3156882620,0.10,556.8283452,,,
560000000,8bx8b,0.000345,2.05E-05,3.53E-13,977203646.8,0.35,172.3645618,,,
