Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
500000000,2bx2b,0.000204,2.508e-05,797448165.8692185,0.25581600000000004,1425.2616858844679
500000000,4bx4b,0.000262,6.27e-05,318979266.34768736,0.8213700000000002,570.1046743537871
500000000,8bx8b,0.000275,0.000212,94339622.64150943,2.9150000000000005,168.61114661312476
510000000,2bx2b,0.000206,2.457e-05,814000814.000814,0.253071,1454.845872282558
510000000,4bx4b,0.000267,6.144000000000001e-05,325520833.3333333,0.820224,581.7962741208081
510000000,8bx8b,0.00028,0.00020776,96264921.06276473,2.90864,172.0521904215559
520000000,2bx2b,0.000207,2.407e-05,830909846.2816784,0.24912450000000003,1485.067016285104
520000000,4bx4b,0.000272,6.019e-05,332281109.8189068,0.818584,593.8787685991435
520000000,8bx8b,0.000286,0.00020352,98270440.25157233,2.910336,175.6366110553383
530000000,2bx2b,0.000213,2.37e-05,843881856.5400844,0.25240500000000005,1508.2516068347027
530000000,4bx4b,0.000279,5.9250000000000004e-05,337552742.61603373,0.8265375,603.3006427338811
530000000,8bx8b,0.000291,0.00020034,99830288.5095338,2.914947,178.4244937705024
540000000,2bx2b,0.000215,2.319e-05,862440707.2013799,0.24929250000000003,1541.421435186824
540000000,4bx4b,0.000281,5.799e-05,344887049.4912916,0.8147595,616.4090891874883
540000000,8bx8b,0.000297,0.0001961,101988781.23406425,2.9120850000000003,182.2823206628376
550000000,2bx2b,0.000222,2.2820000000000002e-05,876424189.3076248,0.253302,1566.4138072735516
550000000,4bx4b,0.00029,5.7050000000000004e-05,350569675.72304994,0.8272250000000001,626.5655229094207
550000000,8bx8b,0.000303,0.00019292000000000002,103669914.9906697,2.9227380000000003,185.2869743001371
