Frequency,Slack,Combinational Area,Buff/Inv Area,Noncombinational Area,Total MAC Engine Area,Total Fusion Unit Area
500000000,2.52,573.503999,9.8136,88.600798,662.1048,559.0272
505000000,4.34,573.712799,10.0224,88.600798,662.3136,559.236
510000000,13.04,573.782399,9.8136,88.600798,662.3832,559.3056
515000000,10.93,575.591999,9.8832,88.600798,664.1928,561.1152
520000000,22.87,574.687199,9.8832,88.600798,663.288,560.2104
525000000,8.37,574.965599,9.8136,88.600798,663.5664,560.4888
530000000,3.01,575.104799,9.8832,88.600798,663.7056,560.628
535000000,2.85,576.496799,10.0224,88.600798,665.0976,562.02
540000000,2.63,577.471199,9.8832,88.600798,666.072,562.9944
545000000,2.53,578.097599,10.3704,88.600798,666.6984,563.6208
550000000,23.82,585.0576,9.744,88.600798,673.6584,570.5808
555000000,2.47,580.811999,11.9016,88.600798,669.4128,566.3352
560000000,3.58,579.419999,10.3704,88.600798,668.0208,564.9432
565000000,0.15,581.368799,10.7184,88.600798,669.9696,566.892
