Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
500000000,2bx2b,8.62e-05,6.27e-05,318979266.34768736,0.270237,700.9843126384202
500000000,4bx4b,0.000233,6.27e-05,318979266.34768736,0.7304550000000001,700.9843126384202
500000000,8bx8b,0.000249,0.000212,94339622.64150943,2.6393999999999997,207.31941699258937
514000000,2bx2b,8.94e-05,6.081e-05,328893274.132544,0.27182069999999997,722.7711955669947
514000000,4bx4b,0.000242,6.081e-05,328893274.132544,0.735801,722.7711955669947
514000000,8bx8b,0.000255,0.00020564000000000002,97257342.92939116,2.6219100000000006,213.7313577243189
528000000,2bx2b,9.11e-05,5.9250000000000004e-05,337552742.61603373,0.26988375,741.8011207161004
528000000,4bx4b,0.000246,5.9250000000000004e-05,337552742.61603373,0.7287750000000001,741.8011207161004
528000000,8bx8b,0.000265,0.00020034,99830288.5095338,2.654505,219.38562644718453
542000000,2bx2b,9.31e-05,5.7680000000000003e-05,346740638.0027739,0.2685004,761.9923093347597
542000000,4bx4b,0.000255,5.7680000000000003e-05,346740638.0027739,0.7354200000000001,761.9923093347597
542000000,8bx8b,0.00027,0.00019504,102543068.08859721,2.63304,225.34719238324934
556000000,2bx2b,9.58e-05,5.643e-05,354421407.052986,0.2702997,778.8714584871336
556000000,4bx4b,0.000259,5.643e-05,354421407.052986,0.7307685,778.8714584871336
556000000,8bx8b,0.000276,0.0001908,104821802.93501048,2.63304,230.35490776954376
570000000,2bx2b,9.83e-05,5.486e-05,364564345.60699964,0.26963689999999996,801.1614364277971
570000000,4bx4b,0.000267,5.486e-05,364564345.60699964,0.732381,801.1614364277971
570000000,8bx8b,0.000286,0.0001855,107816711.59029649,2.6526500000000004,236.93647656295929
