Frequency,Slack,Combinational Area,Buff/Inv Area,Noncombinational Area,Total MAC Engine Area,Total Fusion Unit Area
500000000,26.36,466.111201,12.6672,88.600798,554.712,451.6344
510000000,2.36,466.111201,12.6672,88.600798,554.712,451.6344
520000000,28.99,466.598401,12.9456,88.600798,555.1992,452.1216
530000000,40.45,467.503201,12.6672,88.600798,556.104,453.0264
540000000,24.36,468.408001,12.7368,88.600798,557.0088,453.9312
550000000,20.38,469.104001,13.3632,88.600798,557.7048,454.6272
560000000,10.11,468.825601,13.3632,88.600798,557.4264,453.7224
570000000,1.11,470.148001,13.2936,88.600798,558.7488,455.0448
580000000,4.47,470.496001,12.7368,88.600798,559.0968,456.0192
590000000,2.8,473.071201,15.7992,88.600798,561.672,458.5944
600000000,2.3,471.679201,13.8504,88.600798,560.28,457.2024
610000000,1.24,472.723201,14.0592,88.600798,561.324,458.2464
620000000,5.13,477.804,15.3816,88.600798,566.4048,463.3272
630000000,2.14,481.5624,14.8248,88.600798,570.1632,467.0856
640000000,1.82,479.3352,14.3376,88.600798,567.936,464.8584
650000000,1.8,489.566401,14.8248,88.600798,578.1672,475.0896
660000000,2.24,486.0168,17.1912,88.600798,574.6176,471.54
670000000,0.07,491.7936,16.6344,88.600798,580.3944,477.3168
